lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
1,1,1,straight,stop,from_right,1,1,0,0,0,1,1,9.176223e-05,4.697104,16.42294,easy,warning
4,1,0,turn_right,turn_right,same_direction,0,0,0,1,0,1,1,29.80647,4.980968,14.48688,hard,warning
1,0,1,turn left,turn left,same_direction,0,0,0,0,1,1,1,30.00002,3.973062,9.277122,normal,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.0,2.332806,16.4535,hard,warning
1,1,1,turn left,straight,opposite_direction,1,0,0,0,1,1,1,9.937691,4.230568,32.06857,hard,warning
3,1,1,straight,straight,from_left,0,0,0,0,0,1,1,71.62164,0.0,7.838154,normal,collision
2,1,1,straight,straight,same_direction,0,1,0,0,1,1,1,50.01273,0.9864197,27.66542,normal,danger
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,23.51703,5.974529,15.79856,easy,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.00098,3.121648,14.18197,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,20.0,2.953521,49.82216,easy,warning
2,1,1,stop,turn_right,from_left,0,0,0,0,0,0,0,10.45518,5.799206,5.522056,hard,warning
2,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,9.781191e-05,1.177572,18.57423,normal,danger
1,1,1,straight,stop,from_right,1,0,0,0,0,0,1,25.00052,7.820848,18.30293,easy,warning
1,0,1,reverse,straight,opposite_direction,0,0,1,0,0,0,1,11.18618,6.046396,5.279787,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,20.00044,1.555684,41.17137,easy,danger
2,1,1,stop,turn_right,same_direction,0,0,0,0,1,1,1,1.489446,9.549108,0.5961105,normal,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,0.0001885569,0.8384571,27.74249,hard,danger
4,1,0,turn_right,turn left,opposite_direction,1,0,1,0,0,0,1,30.00014,6.28128,9.766886,hard,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.00014,5.151115,10.44311,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,20.00006,1.439243,30.50138,normal,danger
1,1,1,stop,stop,same_direction,0,0,0,0,0,0,0,0.000173406,2.592741,0.02349037,hard,warning
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,9.085211e-05,1.375929,24.85993,hard,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,21.99968,6.914297,32.91121,hard,warning
1,1,1,straight,stop,opposite_direction,0,1,0,0,0,0,1,15.15907,5.256325,19.10431,easy,warning
1,1,1,turn left,stop,opposite_direction,0,0,1,0,0,1,1,10.98013,7.216192,25.74048,hard,warning
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,20.00001,5.500943,10.37874,hard,warning
1,1,1,straight,turn_right,from_left,0,0,0,0,0,0,0,21.77612,5.468195,2.237625,normal,warning
