real_risk,lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level
2,1,0,0,3,1,3,0,0,0,1,0,1,0.00502613,13.6621,2
2,1,1,1,2,2,0,1,1,1,0,0,1,15.3053,11.8214,2
2,1,0,1,2,2,2,0,0,0,0,0,0,44.8921,62.9474,2
2,1,0,1,2,2,2,0,0,0,0,0,0,39.4233,41.2753,2
2,1,1,1,1,1,3,0,0,0,0,0,0,21.7801,0.000377396,1
2,1,0,1,2,2,2,0,0,0,0,0,0,50.0014,5.58749,0
1,1,0,1,3,3,3,0,0,1,0,0,1,30.0001,9.56291,2
2,1,0,1,2,2,2,0,0,0,0,0,0,3.40313,18.8175,2
2,1,0,1,2,2,3,0,0,1,0,0,0,20.0001,20.0759,2
2,4,1,0,4,3,2,0,0,1,0,0,0,30,22.2667,1
0,1,0,1,2,2,3,0,0,0,0,0,0,50.0003,29.9657,2
1,3,1,1,3,2,3,0,0,0,0,0,1,57.0013,19.1799,0
2,1,1,0,4,1,2,0,0,1,0,1,1,2.43593e-05,6.99211,1
2,2,1,0,4,3,2,0,0,1,1,0,0,30.0125,15.6474,1
1,2,1,0,3,4,3,0,0,1,1,0,1,3.19971,23.2122,1
2,2,1,1,3,2,0,0,0,0,0,0,0,3.55205,14.649,1
2,1,0,1,2,2,3,0,0,0,0,0,0,20.0001,48.5823,0
1,2,0,1,2,2,3,0,0,0,0,0,0,32.0004,26.9678,1
1,1,0,1,2,1,2,0,0,1,0,0,0,6.73415,14.1568,2
2,3,1,1,4,3,3,0,0,0,1,1,1,30.0122,17.9934,2
1,1,0,1,2,2,3,0,0,0,0,0,0,20,44.446,2
1,1,0,1,2,2,3,0,0,0,0,0,0,50,39.0677,2
2,1,0,1,2,2,2,0,0,0,0,0,0,20.0001,26.7754,1
2,4,1,0,3,3,3,0,0,0,0,0,0,52.4535,19.623,1
2,1,1,1,2,1,1,1,0,0,0,0,0,25.001,18.5025,0
2,3,0,1,2,2,3,0,0,0,0,0,0,77.7567,8.33281,1
2,2,0,1,2,2,2,0,0,0,0,1,0,50.0006,23.1912,1
2,1,0,1,2,2,2,0,0,0,0,0,0,29.383,11.6905,1
2,1,0,1,2,2,2,0,0,1,0,1,0,60.0003,9.37758,1
2,1,0,1,2,2,2,0,0,0,0,0,0,50.001,55.8984,2
2,1,0,1,2,2,2,0,0,0,0,0,0,43.1178,25.2026,1
2,4,1,0,4,3,2,0,0,1,0,0,0,10.608,10.8985,1
2,1,1,1,0,2,2,0,0,1,0,0,0,26.0449,5.60651,2
2,1,1,1,2,1,1,0,0,0,0,0,0,9.59381e-05,15.6937,1
1,1,0,1,2,2,2,0,0,0,0,0,0,24,40.6976,0
1,2,0,1,0,2,2,0,0,0,0,0,0,20.0113,19.6248,2
2,4,1,0,0,3,0,0,0,1,1,1,0,20.0103,7.20985,1
1,2,0,1,2,2,3,0,0,0,0,0,0,49.4448,12.3328,2
2,2,1,1,2,2,3,0,0,0,0,0,0,20.0024,23.0939,2
2,1,0,1,2,2,3,0,0,0,0,0,0,3.38725,10.9777,2
2,1,0,1,0,2,2,0,0,1,0,0,0,11.1862,5.27979,2
1,1,0,1,2,2,2,0,0,0,0,0,0,11.9201,24.0292,1
2,1,1,1,2,1,2,0,1,0,0,0,0,15.1591,19.1043,0
1,2,0,1,2,1,3,0,0,0,0,0,0,0.000142515,11.773,0
0,4,1,0,1,3,1,1,0,0,0,1,0,30.0004,6.59152,1
