lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level,real_risk
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,0.000176136,24.4555,hard,danger
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,41.1645,6.60289,hard,warning
1,no,yes,straight,stop,opposite_direction,no,no,no,no,no,no,0.00143859,26.4071,hard,warning
1,yes,yes,reverse,stop,from_right,no,yes,yes,no,no,yes,6.69303,7.12232,normal,warning
3,yes,yes,turn_right,turn_right,same_direction,no,no,no,no,no,no,22.1945,13.048,hard,warning
2,yes,yes,straight,straight,same_direction,no,no,no,no,no,no,21.6922,16.126,hard,warning
1,no,no,straight,straight,opposite_direction,no,no,yes,no,no,no,34.0002,8.16641,easy,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,33.1321,13.7241,hard,warning
1,no,yes,straight,straight,opposite_direction,yes,no,no,no,no,no,9.02818,12.9807,normal,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0001,25.3425,easy,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,22.0011,32.8755,hard,danger
3,no,yes,straight,straight,same_direction,no,no,no,no,no,no,68.3085,6.60289,hard,warning
1,no,yes,stop,stop,from_left,no,no,no,no,yes,no,0.000476425,5.23322,hard,danger
1,yes,yes,stop,turn_right,same_direction,no,no,no,no,no,no,11.3681,0.000229624,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,8.6896,22.7109,hard,warning
2,yes,yes,straight,straight,same_direction,no,no,no,no,yes,yes,50.0019,40.456,normal,warning
1,no,yes,straight,stop,same_direction,no,no,no,no,no,no,9.56169e-05,10.0046,normal,danger
2,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,34.8768,17.6196,normal,warning
1,yes,yes,straight,stop,from_left,no,yes,yes,no,no,yes,4.38753,15.2791,normal,warning
1,yes,yes,straight,stop,from_left,no,yes,yes,no,no,yes,3.68331,13.6178,normal,warning
1,yes,yes,stop,stop,from_left,yes,no,yes,no,no,no,50.0144,6.51851,hard,warning
2,yes,yes,straight,turn_right,opposite_direction,no,yes,no,no,yes,yes,27.7667,9.53553,normal,warning
2,no,yes,straight,stop,same_direction,no,no,no,no,no,no,9.78119e-05,18.5742,normal,danger
1,yes,yes,turn_right,stop,opposite_direction,no,yes,no,no,no,yes,7.85296,55.596,easy,collision
2,yes,yes,turn left,straight,opposite_direction,no,no,yes,no,yes,no,22.0,8.88149,normal,warning
1,no,yes,turn left,turn left,same_direction,no,no,yes,no,no,no,15.0552,9.92616,normal,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,20.0002,13.2647,normal,danger
2,no,yes,reverse,straight,opposite_direction,no,no,no,no,yes,no,22.0014,7.04187,easy,danger
1,no,yes,straight,straight,same_direction,no,yes,yes,no,no,yes,14.94,12.3098,normal,warning
1,no,yes,straight,straight,same_direction,no,no,yes,no,no,no,20.0001,13.4252,normal,warning
1,yes,yes,turn_right,stop,from_right,yes,yes,no,no,no,no,4.68016,20.2815,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,50.0019,10.8843,hard,danger
2,no,yes,straight,stop,same_direction,no,no,no,no,no,no,0.00201868,11.2379,normal,warning
1,yes,yes,reverse,stop,from_right,no,yes,yes,no,no,yes,7.91507,6.81531,normal,warning
1,yes,yes,stop,turn_right,same_direction,no,no,no,no,no,no,17.5691,7.72769,hard,collision
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,40.067,24.7789,hard,warning
