lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
1,0,1,2,2,3,0,0,0,0,0,0,0,50.00007,4.44423,4.908726,2,2
1,0,1,3,1,2,0,0,1,0,1,1,1,8.367816e-05,7.442664,42.10352,2,2
1,0,1,2,2,2,1,0,1,0,0,0,1,39.00004,3.812726,13.46362,2,2
2,0,1,2,2,2,1,0,1,0,0,0,1,33.00067,4.990739,8.132719,1,2
1,0,1,2,2,3,0,0,1,0,0,0,1,20.01396,5.325965,25.7754,2,2
4,1,0,3,3,3,0,0,0,0,0,0,0,30.01204,6.82421,21.34765,1,2
1,0,1,2,1,3,0,0,0,0,0,0,0,6.494025e-05,1.501546,25.9878,1,1
1,0,1,2,2,2,0,0,1,0,0,0,1,38.00016,2.153278,30.02885,1,2
3,1,1,2,2,3,0,0,0,0,0,0,0,80.00002,5.948276,32.74042,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00094,5.068992,12.88561,1,2
1,0,1,2,2,2,0,0,1,0,0,0,1,50.00022,1.431321,16.25091,1,1
1,0,1,2,2,2,0,0,1,0,0,0,1,20.0,1.776416,42.8982,2,1
2,1,1,4,2,3,0,0,0,1,1,1,1,20.00873,1.774709,49.06092,0,1
1,0,1,2,2,2,0,0,1,0,0,0,1,48.69501,1.895805,14.34669,1,1
2,0,1,2,2,2,0,0,0,0,0,0,0,20.00027,4.97801,35.55964,2,2
2,1,1,3,2,0,0,0,0,0,0,1,1,50.00002,1.882588,14.39218,1,1
4,1,0,4,3,2,0,0,1,0,0,0,1,30.00001,5.204688,27.65883,1,2
1,0,1,2,1,0,1,0,0,0,1,0,1,0.0001824537,2.696534,9.826713,1,2
3,1,1,2,1,3,0,0,1,0,0,1,1,4.866394,5.954673,5.450573,1,2
1,0,1,2,2,3,0,0,1,0,0,0,1,20.00003,2.981555,24.58378,2,2
1,0,1,2,2,3,0,0,0,0,0,0,0,50.01444,1.898211,38.22029,2,1
2,0,1,2,2,3,0,0,0,0,1,0,1,20.0005,4.420895,19.35508,1,2
2,1,0,3,1,2,0,0,1,0,0,0,1,28.23877,2.745162,7.860368,0,2
1,0,0,2,1,3,0,0,0,0,0,0,0,0.0001085193,3.421539,29.16573,2,2
1,1,1,2,2,2,0,0,0,0,0,0,0,38.71568,4.412188,6.126771,2,2
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00037,2.733168,26.76102,2,2
2,0,1,2,2,3,0,0,0,0,0,0,0,50.00056,1.823674,30.90965,1,1
2,0,1,2,2,3,0,0,0,0,0,0,0,39.67434,2.383147,11.96113,1,2
2,0,1,2,2,2,0,0,1,0,0,0,1,20.00042,1.966433,12.41368,2,1
2,1,0,3,1,2,0,1,1,0,1,1,1,0.0001409091,5.408057,30.12225,2,2
4,1,0,4,4,3,0,0,0,0,0,0,0,14.63237,2.264554,14.17978,1,2
1,1,1,4,1,2,1,0,1,0,0,1,1,22.62928,0.0,15.51571,2,0
3,0,1,2,2,3,0,0,0,0,0,0,0,80.00056,6.318066,25.14451,0,1
2,0,1,0,2,2,0,0,1,0,0,0,1,20.01297,0.9260073,7.222858,2,1
3,1,1,1,4,3,0,0,0,0,0,0,0,30.55348,1.124411,3.650496,0,2
1,0,0,2,1,3,0,0,0,0,0,0,0,15.43105,8.068768,10.37181,2,2
1,1,1,4,4,3,0,0,0,0,0,1,1,9.080123,2.608659,25.61346,1,2
4,1,0,3,3,2,0,0,1,1,0,1,1,30.00037,3.114797,1.597061,1,2
1,0,1,2,2,3,0,0,0,0,0,0,0,20.0,4.729805,43.20142,1,2
2,1,0,0,4,1,0,0,1,1,1,1,1,26.19289,0.1914828,7.206856,0,1
1,0,1,2,4,0,0,0,0,0,0,0,0,32.68312,6.028672,3.406171,1,2
3,1,1,2,1,3,0,0,0,0,0,1,1,6.800072,4.920406,27.60656,1,2
2,0,1,2,2,3,0,0,0,0,0,0,0,25.00322,4.84027,8.132678,1,2
1,1,1,3,3,3,0,0,1,0,0,1,1,0.0001628592,7.93669,13.49107,1,2
2,1,1,3,4,0,0,0,0,0,0,0,0,50.00001,6.861067,8.519126,2,2
1,0,1,0,2,2,1,0,0,0,0,0,1,50.00001,1.937342,4.811417,1,1
1,0,1,2,1,3,1,0,0,0,0,0,1,9.251175e-05,6.183412,26.80957,0,2
1,1,1,2,1,1,0,1,0,0,0,1,1,9.385017e-05,4.460152,14.2429,0,2
1,1,1,1,2,0,1,0,1,0,0,0,1,6.72016,6.487751,0.8502198,1,2
2,1,0,3,3,2,0,1,1,0,0,0,1,30.00023,1.506425,18.24195,2,1
1,0,1,2,2,3,0,0,0,0,0,0,0,20.00007,4.156907,54.79886,1,2
2,1,1,3,2,0,0,0,0,0,0,0,0,3.55205,6.304469,14.64902,1,2
1,1,1,3,3,0,1,0,0,0,1,1,1,17.22846,1.806429,12.50973,1,1
2,1,1,1,2,0,0,0,0,0,0,0,0,13.45902,6.670794,5.670006,2,2
1,0,1,2,2,2,0,0,1,0,0,0,1,50.00002,4.739503,11.05985,1,2
1,1,1,2,1,1,0,1,1,0,0,1,1,1.440164,8.508021,13.99907,2,2
1,0,1,3,3,0,0,0,0,0,0,1,1,33.73192,5.351733,0.004122747,0,1
1,0,0,3,1,3,0,0,0,0,0,0,0,0.0001808476,1.543287,9.472696,2,1
1,0,1,2,2,2,0,0,0,0,0,0,0,47.93333,6.396507,26.71853,1,2
1,1,1,2,1,0,1,0,1,0,0,1,1,8.410645e-05,7.387022,7.011931,1,2
2,0,1,2,2,2,1,0,1,0,0,0,1,70.0,6.748171,7.936559,1,2
1,0,1,2,2,2,0,0,1,0,0,0,1,38.40951,4.978812,11.07277,1,2
1,1,1,4,1,1,0,0,0,0,0,1,1,6.660027,3.119678,20.55344,2,2
1,0,1,2,2,3,0,0,0,0,0,0,0,27.00153,1.746037,62.18987,2,1
4,1,0,3,3,2,0,0,1,1,1,0,1,20.6701,5.970638,4.191625,1,2
1,1,1,2,2,2,0,0,0,0,0,0,0,13.32014,5.041242,24.95488,1,2
2,0,1,0,2,2,0,0,1,0,0,0,1,50.00089,3.1523,16.07994,2,2
1,0,1,0,1,1,1,0,0,0,1,0,1,20.88263,0.3192724,7.044104,1,1
2,0,1,2,1,3,0,0,0,0,0,0,0,0.0001031648,1.492097,11.33531,2,1
3,1,1,4,2,3,0,0,0,0,0,1,1,43.14199,6.958981,16.70562,1,2
1,0,1,3,2,2,1,0,1,0,0,0,1,60.00002,1.585607,10.80759,2,1
1,0,1,2,2,3,0,0,0,0,0,0,0,49.14011,4.853874,52.44689,1,2
4,1,0,4,3,2,0,0,1,0,0,0,1,21.20041,1.906946,18.58979,1,1
1,0,1,2,2,3,0,0,0,0,0,0,0,49.99995,2.569918,2.003569,0,2
1,0,1,2,2,2,1,0,1,0,0,0,1,19.46625,6.203602,11.61471,2,2
2,0,1,4,2,3,0,0,0,0,0,0,0,17.84563,6.316675,17.01104,1,2
1,1,1,2,1,2,0,1,1,0,0,1,1,1.923439,5.8921,17.62881,2,2
2,0,1,2,2,3,0,0,0,0,0,0,0,14.3138,4.704487,30.48582,1,2
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00069,4.34795,52.24597,2,2
1,0,1,2,2,3,0,0,0,0,0,0,0,43.00173,5.58434,35.3881,0,2
4,1,0,4,3,2,0,0,1,0,0,0,1,30.00002,5.187333,22.08481,1,2
4,1,0,3,3,0,0,0,1,1,1,1,1,30.0001,1.384512,15.46606,1,1
1,1,1,2,1,3,0,1,1,0,0,1,1,5.040164,1.998211,34.47849,0,1
2,0,1,2,2,3,0,0,0,0,0,0,0,50.00027,5.125215,20.9567,1,2
1,0,1,3,1,1,0,0,0,0,1,0,1,50.00078,3.100308,5.97938,1,2
1,1,1,2,2,3,0,0,0,0,0,0,0,50.00003,0.9054928,0.007124136,2,1
1,1,1,2,4,0,0,0,1,0,0,0,1,50.01274,5.112159,2.126818,1,2
2,0,1,2,2,3,0,0,0,0,0,0,0,31.90543,2.378234,33.24365,1,2
1,1,1,1,4,3,0,0,0,0,0,0,0,23.75331,5.930769,0.5355647,1,2
2,0,1,3,2,3,0,0,0,0,1,0,1,66.00521,0.1890483,11.94006,2,1
1,0,1,2,2,2,0,0,0,0,0,0,0,50.0032,3.248633,6.926713,0,2
1,0,1,3,2,2,0,0,0,0,1,0,1,14.04728,3.410749,4.7629,1,2
1,1,0,4,1,2,0,0,1,0,1,1,1,0.0001726029,0.3930149,15.13384,1,1
3,1,0,4,4,3,1,0,0,1,1,1,1,14.78346,5.260089,12.59118,2,2
2,0,1,2,2,2,0,0,1,0,0,0,1,38.2836,1.47762,27.63694,0,1
1,0,0,2,1,3,0,0,0,0,0,0,0,13.75445,4.396424,9.472696,2,2
4,1,0,3,3,3,0,0,1,0,1,0,1,50.00002,5.392598,4.172024,1,2
1,0,1,2,2,2,0,0,0,0,0,0,0,50.00025,6.153788,15.85815,1,2
2,0,1,3,2,1,0,0,1,0,1,1,1,70.0,1.484005,6.391389,1,1
2,0,1,2,2,2,0,0,0,0,0,0,0,16.1718,2.203867,17.9068,1,2
